Date,Open,High,Low,Close,Volume
2018-02-05,0.00,0.00,0.00,0.00,12489400
2018-02-06,0.00,0.00,0.00,0.00,19139100
2018-02-07,0.00,0.00,0.00,0.00,12990100
2018-02-08,0.00,0.00,0.00,0.00,9462680
2018-02-09,0.00,0.01,0.00,0.00,11190100
2018-02-10,0.00,0.01,0.00,0.00,16717300
2018-02-11,0.00,0.01,0.00,0.00,11309800
2018-02-12,0.00,0.01,0.00,0.01,11124300
2018-02-13,0.01,0.01,0.01,0.01,14149700
2018-02-14,0.01,0.01,0.01,0.01,40527400
2018-02-15,0.01,0.01,0.01,0.01,43275000
2018-02-16,0.01,0.01,0.01,0.01,26553900
2018-02-17,0.01,0.01,0.01,0.01,18333100
2018-02-18,0.01,0.01,0.01,0.01,15291500
2018-02-19,0.01,0.01,0.01,0.01,13019200
2018-02-20,0.01,0.01,0.01,0.01,107911000
2018-02-21,0.01,0.01,0.01,0.01,36813100
2018-02-22,0.01,0.01,0.01,0.01,20365500
2018-02-23,0.01,0.01,0.01,0.01,19390500
2018-02-24,0.01,0.01,0.01,0.01,15687300
2018-02-25,0.01,0.01,0.01,0.01,11758800
2018-02-26,0.01,0.01,0.01,0.01,12068600
2018-02-27,0.01,0.01,0.01,0.01,12201900
2018-02-28,0.01,0.01,0.01,0.01,13227600
2018-03-01,0.01,0.01,0.01,0.01,15518400
2018-03-02,0.01,0.01,0.01,0.01,22498100
2018-03-03,0.01,0.01,0.01,0.01,21545000
2018-03-04,0.01,0.01,0.01,0.01,12133500
2018-03-05,0.01,0.01,0.01,0.01,13627700
2018-03-06,0.01,0.01,0.00,0.00,14766900
2018-03-07,0.00,0.00,0.00,0.00,17585500
2018-03-08,0.00,0.00,0.00,0.00,15499400
2018-03-09,0.00,0.00,0.00,0.00,13624400
2018-03-10,0.00,0.00,0.00,0.00,9880540
2018-03-11,0.00,0.00,0.00,0.00,9251440
2018-03-12,0.00,0.00,0.00,0.00,7601500
2018-03-13,0.00,0.00,0.00,0.00,6006560
2018-03-14,0.00,0.00,0.00,0.00,7532350
2018-03-15,0.00,0.00,0.00,0.00,9316740
2018-03-16,0.00,0.00,0.00,0.00,6407110
2018-03-17,0.00,0.00,0.00,0.00,6231110
2018-03-18,0.00,0.00,0.00,0.00,9029610
2018-03-19,0.00,0.00,0.00,0.00,8278910
2018-03-20,0.00,0.00,0.00,0.00,6638060
2018-03-21,0.00,0.00,0.00,0.00,6711100
2018-03-22,0.00,0.00,0.00,0.00,5210480
2018-03-23,0.00,0.00,0.00,0.00,6178530
2018-03-24,0.00,0.00,0.00,0.00,4461220
2018-03-25,0.00,0.00,0.00,0.00,3476340
2018-03-26,0.00,0.00,0.00,0.00,6061990
2018-03-27,0.00,0.00,0.00,0.00,5235300
2018-03-28,0.00,0.00,0.00,0.00,4912220
