Date,Open,High,Low,Close,Volume
2018-02-05,834.96,856.65,644.60,697.95,4269530112
2018-02-06,707.74,796.44,574.42,793.12,6518269952
2018-02-07,790.43,851.20,723.43,757.07,3896179968
2018-02-08,755.84,845.09,755.84,817.81,3708189952
2018-02-09,818.48,884.00,788.83,883.86,2495820032
2018-02-10,882.47,917.40,825.58,860.41,2930530048
2018-02-11,859.29,859.29,788.22,814.66,2486650112
2018-02-12,817.51,875.94,817.51,868.71,2243450112
2018-02-13,869.29,870.71,828.84,845.26,2081170048
2018-02-14,844.28,926.43,844.28,923.56,2818370048
2018-02-15,923.73,951.95,911.11,936.98,2900100096
2018-02-16,934.79,950.01,917.85,944.21,2369449984
2018-02-17,944.75,976.59,940.75,974.11,2525720064
2018-02-18,973.35,982.93,915.45,923.92,2567290112
2018-02-19,921.67,957.78,921.55,943.86,2169019904
2018-02-20,943.57,965.27,892.95,895.37,2545260032
2018-02-21,894.14,912.38,830.56,849.97,2531729920
2018-02-22,849.26,875.93,802.67,812.84,2150370048
2018-02-23,811.59,886.32,794.79,864.19,2334820096
2018-02-24,861.59,879.53,818.55,840.52,1926579968
2018-02-25,839.46,853.15,822.38,844.81,1646960000
2018-02-26,845.28,880.39,842.32,869.32,2044480000
2018-02-27,870.36,896.26,867.10,878.27,2053980032
2018-02-28,877.93,890.11,855.12,855.20,1963980032
2018-03-01,856.01,880.30,851.92,872.20,1868519936
2018-03-02,871.76,876.38,852.42,856.85,1894419968
2018-03-03,856.71,868.45,855.21,857.22,1699369984
2018-03-04,856.19,867.95,840.28,866.68,1697939968
2018-03-05,866.85,869.92,853.52,853.68,1898489984
2018-03-06,853.82,853.82,809.93,816.95,1943069952
2018-03-07,816.27,825.61,726.55,752.83,2175419904
2018-03-08,752.57,773.77,696.17,704.60,1891640064
2018-03-09,702.20,729.16,648.11,728.92,2233019904
2018-03-10,730.16,748.03,682.70,686.89,1532960000
2018-03-11,685.31,735.83,668.12,723.34,1562680064
2018-03-12,724.41,742.51,683.27,699.83,1764999936
2018-03-13,698.15,713.73,682.35,690.83,1425959936
2018-03-14,691.22,702.78,594.10,614.29,1810560000
2018-03-15,614.84,620.62,579.51,611.30,1770460032
2018-03-16,611.78,623.17,587.86,601.67,1417350016
2018-03-17,601.68,609.15,549.10,552.78,1267810048
2018-03-18,551.64,551.64,460.09,538.64,2685499904
2018-03-19,546.63,558.10,519.12,556.73,2046790016
2018-03-20,556.72,567.09,521.20,557.17,1833680000
2018-03-21,559.10,589.61,550.57,561.73,1781270016
2018-03-22,562.10,577.57,523.09,539.70,1523459968
2018-03-23,539.86,540.49,512.13,539.62,1596349952
2018-03-24,542.57,545.38,526.08,526.44,1300009984
2018-03-25,522.70,535.82,515.66,524.29,1151170048
2018-03-26,524.29,526.38,470.44,489.95,1638880000
2018-03-27,489.59,491.46,449.97,450.12,1617939968
2018-03-28,450.29,466.21,444.86,446.28,1514179968
2018-03-29,448.08,450.81,385.81,385.97,1970230016
2018-03-30,385.90,409.93,368.63,394.64,1878130048
2018-03-31,395.00,418.47,392.95,396.46,1323920000
2018-04-01,397.25,400.53,363.80,379.61,1256930048
2018-04-02,379.70,395.17,377.59,386.42,1102259968
2018-04-03,387.31,418.97,383.53,416.89,1363399936
2018-04-04,416.48,417.47,375.31,380.54,1287730048
2018-04-05,379.95,387.72,369.82,383.23,1210680064
2018-04-06,382.73,385.20,366.91,370.29,967105984
2018-04-07,370.38,393.06,369.94,385.31,951475008
2018-04-08,385.74,402.59,385.60,400.51,948488000
2018-04-09,400.86,429.25,390.61,398.53,1478390016
2018-04-10,399.41,415.89,393.88,414.24,1196000000
2018-04-11,415.02,430.54,412.47,430.54,1439040000
2018-04-12,430.16,493.06,417.41,492.94,2519360000
2018-04-13,493.16,526.47,482.66,492.73,2419249920
2018-04-14,492.58,512.02,488.28,501.48,1519079936
2018-04-15,502.88,531.70,502.88,531.70,1726089984
2018-04-16,532.07,534.20,500.25,511.15,1758979968
